datetime,company,pe_ratio,pb_ratio,roe,roa,debt_ratio,revenue_growth,gross_margin,operating_margin
2020-01-31,AAPL,29.074421601830604,5.411770145005689,0.21683317057264057,-0.038446325044399224,0.6935201133403955,0.16936891152418795,0.3868042490252367,0.16679344497201923
2020-01-31,ABBV,32.98954621016367,4.775461875997907,0.09824145224228951,0.11976043393585502,0.37223059262779085,0.20108035856796558,0.4253742979127155,0.3498094804415427
2020-01-31,AMD,23.319902744004892,5.075701922832559,-0.02567638888393947,0.1228712197066757,0.5164158633566656,-0.11702195840326196,0.3064770978539958,0.27605525918025164
2020-01-31,AMZN,38.113818457291345,5.359237258309725,0.09528558221964593,0.14172012613239887,0.38913836574223526,0.08349211927785544,0.2662031387728926,0.3742306591087412
2020-01-31,BAC,15.364455964204916,4.615691456270841,0.08859991187617566,0.20648983966645243,0.4646681551589855,0.32363907150929727,0.3949614317549069,0.14740147553706148
2020-01-31,COP,26.841000326115893,3.9185493246661234,0.29393187456444797,0.12826090491635098,0.4424654320080002,0.14736830321535815,0.3339399275126645,0.2512386518722506
2020-01-31,COST,38.34723749514946,7.1397837349161755,0.10783113841956576,0.11275416079149415,0.6029176969102089,0.13338284042556967,0.3689705919802965,0.2112898883384445
2020-01-31,GOOGL,22.414353416853338,2.889789627198124,0.2814848938333543,,0.648513607468844,0.024820255405198985,0.2587385329495936,0.2182890951967739
2020-01-31,GS,34.649586170513416,3.250659270454294,0.16116235548544952,0.16196951332153567,,0.05948263600065598,0.39500715373580286,0.3381020539545565
2020-01-31,IBM,28.437264822190855,6.103264338989714,0.26004213657482844,0.19597108458981344,0.39128382065140077,0.0943959702828123,0.2859195050689614,0.29352487445148123
2020-01-31,INTC,26.305440330816108,,0.20030559879983934,0.08487729650532094,0.28007778642987835,0.13669657118189976,0.3892828792715668,0.27453288563655553
2020-01-31,JNJ,26.534169255368756,5.83510734229563,0.168473131161756,0.04531457643912082,0.40805241232086237,-0.1510320248320873,0.26869118899712513,0.21676544782891832
2020-01-31,JPM,40.32149803864279,4.77959289541953,0.04120116671216727,0.019472350582927817,0.530157733587538,0.29244779329341086,0.43991780589527874,0.19603023526665053
2020-01-31,META,31.478232607458978,5.5621702077543915,0.1722315855334875,0.03420459791717924,0.480006545396444,0.44493815374214785,0.49056069255474116,0.318430647530688
2020-01-31,MPC,19.623782951880052,4.229784978604657,0.18367151660117495,0.15346928742889637,0.5993318142952214,0.15024745014067867,0.358533519136794,0.2485326999464701
2020-01-31,MRK,25.23579610371594,6.955944591625686,0.10605695930202304,0.08563537135812826,0.5870952927624338,0.13715191417307732,0.3011055056076172,0.2851999501095915
